"country","total_deaths"
"Ireland","1"
"Netherlands","2"
"Poland","2"
"Australia","2"
"Maldives","2"
"Solomon Islands","2"
"United Arab Emirates","3"
"Latvia","3"
"Bhutan","4"
"Austria","4"
